Weeks,Predicted_Sales
2025-01-05,140057.2643559692
2025-01-12,126485.4212323656
2025-01-19,122727.46549171221
2025-01-26,122126.43874470436
2025-02-02,122397.63118410957
2025-02-09,126939.57809356609
2025-02-16,137598.48776538915
2025-02-23,149299.71825345742
2025-03-02,154126.04494337205
2025-03-09,150065.7437558802
2025-03-16,143554.22608103667
2025-03-23,142504.24067273896
2025-03-30,148023.55831724883
2025-04-06,154290.45989199367
2025-04-13,156048.23581139604
2025-04-20,154502.33175888215
2025-04-27,155173.47669812644
2025-05-04,161112.68090430554
2025-05-11,169544.69047063758
2025-05-18,174855.12319989846
2025-05-25,173504.1177016282
2025-06-01,165836.4129440532
2025-06-08,154878.70668677075
2025-06-15,145107.95689027
2025-06-22,141607.51169937217
2025-06-29,147444.20115529132
2025-07-06,159767.80879172328
2025-07-13,169546.97941713614
2025-07-20,168170.08887992127
2025-07-27,156092.29511483051
2025-08-03,144047.4585299923
2025-08-10,143761.02364380757
2025-08-17,156821.28639025692
2025-08-24,173489.92868092452
2025-08-31,182816.8117438626
2025-09-07,182888.98257359362
2025-09-14,180229.38869179814
2025-09-21,180276.37633195904
2025-09-28,181069.28533121265
2025-10-05,177492.87332612832
2025-10-12,169838.80913592543
2025-10-19,165073.1170082597
2025-10-26,168753.99957788913
2025-11-02,177872.78869681692
2025-11-09,184169.06320895033
2025-11-16,184265.12676721765
2025-11-23,183853.901125946
2025-11-30,190040.9211422915
2025-12-07,200748.68296068042
2025-12-14,204476.18877036136
2025-12-21,191766.63975119463
2025-12-28,165664.50375093502
